ID	Type	RO:0002220	contact_um2	min_dist_um	centroid_um	spatial_atlas
MBA:477	owl:NamedIndividual	MBA:1009	3669375.109	25.000	1668.551	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:549	9667500.288	25.000	1189.582	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:1009	9667500.288	25.000	1189.582	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:703	535625.016	25.000	652.515	n2o:CCF2020
MBA:703	owl:NamedIndividual	MBA:1009	535625.016	25.000	652.515	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:803	2336250.070	25.000	1480.017	n2o:CCF2020
MBA:803	owl:NamedIndividual	MBA:1009	2336250.070	25.000	1480.017	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:81	1645625.049	25.000	1638.934	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:1009	1645625.049	25.000	1638.934	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:967	22976875.685	25.000	1145.999	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:1009	22976875.685	25.000	1145.999	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:983	10855000.324	25.000	1596.938	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:1009	10855000.324	25.000	1596.938	n2o:CCF2020
MBA:1009	owl:NamedIndividual	MBA:991	15559375.464	25.000	1998.040	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:1009	15559375.464	25.000	1998.040	n2o:CCF2020
MBA:1089	owl:NamedIndividual	MBA:129	257500.008	25.000	2131.353	n2o:CCF2020
MBA:129	owl:NamedIndividual	MBA:1089	257500.008	25.000	2131.353	n2o:CCF2020
MBA:1089	owl:NamedIndividual	MBA:313	468125.014	25.000	765.736	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:1089	468125.014	25.000	765.736	n2o:CCF2020
MBA:1089	owl:NamedIndividual	MBA:315	18682500.557	25.000	2931.561	n2o:CCF2020
MBA:315	owl:NamedIndividual	MBA:1089	18682500.557	25.000	2931.561	n2o:CCF2020
MBA:1089	owl:NamedIndividual	MBA:477	319375.010	25.000	3475.148	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:1089	319375.010	25.000	3475.148	n2o:CCF2020
MBA:1089	owl:NamedIndividual	MBA:484682512	106250.003	25.000	2060.248	n2o:CCF2020
MBA:484682512	owl:NamedIndividual	MBA:1089	106250.003	25.000	2060.248	n2o:CCF2020
MBA:1089	owl:NamedIndividual	MBA:549	1592500.047	25.000	1535.200	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:1089	1592500.047	25.000	1535.200	n2o:CCF2020
MBA:1089	owl:NamedIndividual	MBA:698	6266250.187	25.000	5189.613	n2o:CCF2020
MBA:698	owl:NamedIndividual	MBA:1089	6266250.187	25.000	5189.613	n2o:CCF2020
MBA:1089	owl:NamedIndividual	MBA:703	4890625.146	25.000	2812.643	n2o:CCF2020
MBA:703	owl:NamedIndividual	MBA:1089	4890625.146	25.000	2812.643	n2o:CCF2020
MBA:1089	owl:NamedIndividual	MBA:81	213750.006	25.000	1370.122	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:1089	213750.006	25.000	1370.122	n2o:CCF2020
MBA:1089	owl:NamedIndividual	MBA:983	11656250.347	25.000	1692.882	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:1089	11656250.347	25.000	1692.882	n2o:CCF2020
MBA:1089	owl:NamedIndividual	MBA:991	83076252.476	25.000	1607.956	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:1089	83076252.476	25.000	1607.956	n2o:CCF2020
MBA:1097	owl:NamedIndividual	MBA:129	7692500.229	25.000	2086.992	n2o:CCF2020
MBA:129	owl:NamedIndividual	MBA:1097	7692500.229	25.000	2086.992	n2o:CCF2020
MBA:1097	owl:NamedIndividual	MBA:313	11745625.350	25.000	3723.779	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:1097	11745625.350	25.000	3723.779	n2o:CCF2020
MBA:1097	owl:NamedIndividual	MBA:477	2545625.076	25.000	1836.028	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:1097	2545625.076	25.000	1836.028	n2o:CCF2020
MBA:1097	owl:NamedIndividual	MBA:549	12859375.383	25.000	2028.283	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:1097	12859375.383	25.000	2028.283	n2o:CCF2020
MBA:1097	owl:NamedIndividual	MBA:803	21385625.637	25.000	1272.348	n2o:CCF2020
MBA:803	owl:NamedIndividual	MBA:1097	21385625.637	25.000	1272.348	n2o:CCF2020
MBA:1097	owl:NamedIndividual	MBA:967	1589375.047	25.000	1063.854	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:1097	1589375.047	25.000	1063.854	n2o:CCF2020
MBA:1097	owl:NamedIndividual	MBA:983	469375.014	25.000	2416.672	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:1097	469375.014	25.000	2416.672	n2o:CCF2020
MBA:1097	owl:NamedIndividual	MBA:991	9310625.277	25.000	2828.244	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:1097	9310625.277	25.000	2828.244	n2o:CCF2020
MBA:129	owl:NamedIndividual	MBA:140	11875.000	25.000	3870.881	n2o:CCF2020
MBA:140	owl:NamedIndividual	MBA:129	11875.000	25.000	3870.881	n2o:CCF2020
MBA:129	owl:NamedIndividual	MBA:313	1275625.038	25.000	2847.496	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:129	1275625.038	25.000	2847.496	n2o:CCF2020
MBA:129	owl:NamedIndividual	MBA:477	631875.019	25.000	1464.582	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:129	631875.019	25.000	1464.582	n2o:CCF2020
MBA:129	owl:NamedIndividual	MBA:549	4226875.126	25.000	623.958	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:129	4226875.126	25.000	623.958	n2o:CCF2020
MBA:129	owl:NamedIndividual	MBA:803	1208750.036	25.000	1916.231	n2o:CCF2020
MBA:803	owl:NamedIndividual	MBA:129	1208750.036	25.000	1916.231	n2o:CCF2020
MBA:129	owl:NamedIndividual	MBA:81	4597500.137	25.000	827.645	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:129	4597500.137	25.000	827.645	n2o:CCF2020
MBA:129	owl:NamedIndividual	MBA:967	53750.002	25.000	1638.571	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:129	53750.002	25.000	1638.571	n2o:CCF2020
MBA:129	owl:NamedIndividual	MBA:991	2722500.081	25.000	934.976	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:129	2722500.081	25.000	934.976	n2o:CCF2020
MBA:140	owl:NamedIndividual	MBA:145	63750.002	25.000	2193.909	n2o:CCF2020
MBA:145	owl:NamedIndividual	MBA:140	63750.002	25.000	2193.909	n2o:CCF2020
MBA:140	owl:NamedIndividual	MBA:313	5159375.154	25.000	1024.448	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:140	5159375.154	25.000	1024.448	n2o:CCF2020
MBA:140	owl:NamedIndividual	MBA:512	1603750.048	25.000	1595.999	n2o:CCF2020
MBA:512	owl:NamedIndividual	MBA:140	1603750.048	25.000	1595.999	n2o:CCF2020
MBA:145	owl:NamedIndividual	MBA:313	168750.005	25.000	2716.449	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:145	168750.005	25.000	2716.449	n2o:CCF2020
MBA:145	owl:NamedIndividual	MBA:354	13835625.412	25.000	1261.694	n2o:CCF2020
MBA:354	owl:NamedIndividual	MBA:145	13835625.412	25.000	1261.694	n2o:CCF2020
MBA:145	owl:NamedIndividual	MBA:512	12262500.365	25.000	1365.078	n2o:CCF2020
MBA:512	owl:NamedIndividual	MBA:145	12262500.365	25.000	1365.078	n2o:CCF2020
MBA:145	owl:NamedIndividual	MBA:771	2901250.086	25.000	1758.870	n2o:CCF2020
MBA:771	owl:NamedIndividual	MBA:145	2901250.086	25.000	1758.870	n2o:CCF2020
MBA:145	owl:NamedIndividual	MBA:81	13658750.407	25.000	4456.891	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:145	13658750.407	25.000	4456.891	n2o:CCF2020
MBA:145	owl:NamedIndividual	MBA:960	2993125.089	25.000	683.285	n2o:CCF2020
MBA:960	owl:NamedIndividual	MBA:145	2993125.089	25.000	683.285	n2o:CCF2020
MBA:145	owl:NamedIndividual	MBA:967	14375.000	25.000	5743.827	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:145	14375.000	25.000	5743.827	n2o:CCF2020
MBA:164	owl:NamedIndividual	MBA:354	91875.003	25.000	1079.678	n2o:CCF2020
MBA:354	owl:NamedIndividual	MBA:164	91875.003	25.000	1079.678	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:315	26250.001	25.000	3427.099	n2o:CCF2020
MBA:315	owl:NamedIndividual	MBA:313	26250.001	25.000	3427.099	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:512	13523750.403	25.000	2523.846	n2o:CCF2020
MBA:512	owl:NamedIndividual	MBA:313	13523750.403	25.000	2523.846	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:549	18441250.550	25.000	2275.008	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:313	18441250.550	25.000	2275.008	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:771	16202500.483	25.000	2377.381	n2o:CCF2020
MBA:771	owl:NamedIndividual	MBA:313	16202500.483	25.000	2377.381	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:960	5816875.173	25.000	2235.184	n2o:CCF2020
MBA:960	owl:NamedIndividual	MBA:313	5816875.173	25.000	2235.184	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:967	30305625.903	25.000	4051.108	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:313	30305625.903	25.000	4051.108	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:983	11792500.351	25.000	2368.375	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:313	11792500.351	25.000	2368.375	n2o:CCF2020
MBA:313	owl:NamedIndividual	MBA:991	8160000.243	25.000	2193.377	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:313	8160000.243	25.000	2193.377	n2o:CCF2020
MBA:315	owl:NamedIndividual	MBA:477	640000.019	25.000	2418.716	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:315	640000.019	25.000	2418.716	n2o:CCF2020
MBA:315	owl:NamedIndividual	MBA:484682512	59501876.773	25.000	1021.600	n2o:CCF2020
MBA:484682512	owl:NamedIndividual	MBA:315	59501876.773	25.000	1021.600	n2o:CCF2020
MBA:315	owl:NamedIndividual	MBA:698	28262500.842	25.000	3565.076	n2o:CCF2020
MBA:698	owl:NamedIndividual	MBA:315	28262500.842	25.000	3565.076	n2o:CCF2020
MBA:315	owl:NamedIndividual	MBA:703	14934375.445	25.000	3459.605	n2o:CCF2020
MBA:703	owl:NamedIndividual	MBA:315	14934375.445	25.000	3459.605	n2o:CCF2020
MBA:315	owl:NamedIndividual	MBA:967	91250.003	25.000	2956.210	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:315	91250.003	25.000	2956.210	n2o:CCF2020
MBA:315	owl:NamedIndividual	MBA:983	26513125.790	25.000	1490.930	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:315	26513125.790	25.000	1490.930	n2o:CCF2020
MBA:315	owl:NamedIndividual	MBA:991	27464375.819	25.000	1349.089	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:315	27464375.819	25.000	1349.089	n2o:CCF2020
MBA:354	owl:NamedIndividual	MBA:512	6161250.184	25.000	2572.544	n2o:CCF2020
MBA:512	owl:NamedIndividual	MBA:354	6161250.184	25.000	2572.544	n2o:CCF2020
MBA:354	owl:NamedIndividual	MBA:771	21087500.628	25.000	1908.967	n2o:CCF2020
MBA:771	owl:NamedIndividual	MBA:354	21087500.628	25.000	1908.967	n2o:CCF2020
MBA:354	owl:NamedIndividual	MBA:81	508125.015	25.000	5177.044	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:354	508125.015	25.000	5177.044	n2o:CCF2020
MBA:354	owl:NamedIndividual	MBA:960	23655625.705	25.000	1943.889	n2o:CCF2020
MBA:960	owl:NamedIndividual	MBA:354	23655625.705	25.000	1943.889	n2o:CCF2020
MBA:354	owl:NamedIndividual	MBA:967	51320626.529	25.000	6014.230	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:354	51320626.529	25.000	6014.230	n2o:CCF2020
MBA:354	owl:NamedIndividual	MBA:983	11105000.331	25.000	5458.473	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:354	11105000.331	25.000	5458.473	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:698	24528750.731	25.000	1720.309	n2o:CCF2020
MBA:698	owl:NamedIndividual	MBA:477	24528750.731	25.000	1720.309	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:703	17674375.527	25.000	1782.916	n2o:CCF2020
MBA:703	owl:NamedIndividual	MBA:477	17674375.527	25.000	1782.916	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:803	59605001.776	25.000	793.479	n2o:CCF2020
MBA:803	owl:NamedIndividual	MBA:477	59605001.776	25.000	793.479	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:81	23760000.708	25.000	2280.512	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:477	23760000.708	25.000	2280.512	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:967	7115625.212	25.000	794.167	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:477	7115625.212	25.000	794.167	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:983	61501876.833	25.000	2005.731	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:477	61501876.833	25.000	2005.731	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:991	13633125.406	25.000	2381.537	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:477	13633125.406	25.000	2381.537	n2o:CCF2020
MBA:484682512	owl:NamedIndividual	MBA:983	60591251.806	25.000	1149.864	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:484682512	60591251.806	25.000	1149.864	n2o:CCF2020
MBA:484682512	owl:NamedIndividual	MBA:991	2408125.072	25.000	760.790	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:484682512	2408125.072	25.000	760.790	n2o:CCF2020
MBA:512	owl:NamedIndividual	MBA:771	1515625.045	25.000	2800.200	n2o:CCF2020
MBA:771	owl:NamedIndividual	MBA:512	1515625.045	25.000	2800.200	n2o:CCF2020
MBA:512	owl:NamedIndividual	MBA:81	726250.022	25.000	4545.164	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:512	726250.022	25.000	4545.164	n2o:CCF2020
MBA:512	owl:NamedIndividual	MBA:960	196781880.865	25.000	820.679	n2o:CCF2020
MBA:960	owl:NamedIndividual	MBA:512	196781880.865	25.000	820.679	n2o:CCF2020
MBA:512	owl:NamedIndividual	MBA:967	1827500.054	25.000	6281.257	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:512	1827500.054	25.000	6281.257	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:803	3946250.118	25.000	2232.774	n2o:CCF2020
MBA:803	owl:NamedIndividual	MBA:549	3946250.118	25.000	2232.774	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:81	486875.015	25.000	453.461	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:549	486875.015	25.000	453.461	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:967	3043750.091	25.000	1909.301	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:549	3043750.091	25.000	1909.301	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:983	26386250.786	25.000	460.340	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:549	26386250.786	25.000	460.340	n2o:CCF2020
MBA:549	owl:NamedIndividual	MBA:991	12871875.384	25.000	816.365	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:549	12871875.384	25.000	816.365	n2o:CCF2020
MBA:698	owl:NamedIndividual	MBA:703	38065001.134	25.000	3201.984	n2o:CCF2020
MBA:703	owl:NamedIndividual	MBA:698	38065001.134	25.000	3201.984	n2o:CCF2020
MBA:698	owl:NamedIndividual	MBA:803	2043750.061	25.000	1908.293	n2o:CCF2020
MBA:803	owl:NamedIndividual	MBA:698	2043750.061	25.000	1908.293	n2o:CCF2020
MBA:698	owl:NamedIndividual	MBA:81	377500.011	25.000	3944.397	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:698	377500.011	25.000	3944.397	n2o:CCF2020
MBA:698	owl:NamedIndividual	MBA:967	76246252.272	25.000	2188.629	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:698	76246252.272	25.000	2188.629	n2o:CCF2020
MBA:698	owl:NamedIndividual	MBA:983	2832500.084	25.000	3644.451	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:698	2832500.084	25.000	3644.451	n2o:CCF2020
MBA:698	owl:NamedIndividual	MBA:991	480000.014	25.000	3970.958	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:698	480000.014	25.000	3970.958	n2o:CCF2020
MBA:703	owl:NamedIndividual	MBA:81	1098750.033	25.000	2290.506	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:703	1098750.033	25.000	2290.506	n2o:CCF2020
MBA:703	owl:NamedIndividual	MBA:983	15098750.450	25.000	2233.482	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:703	15098750.450	25.000	2233.482	n2o:CCF2020
MBA:703	owl:NamedIndividual	MBA:991	12282500.366	25.000	2642.536	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:703	12282500.366	25.000	2642.536	n2o:CCF2020
MBA:771	owl:NamedIndividual	MBA:960	21056875.628	25.000	1989.827	n2o:CCF2020
MBA:960	owl:NamedIndividual	MBA:771	21056875.628	25.000	1989.827	n2o:CCF2020
MBA:771	owl:NamedIndividual	MBA:967	32721250.975	25.000	4132.956	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:771	32721250.975	25.000	4132.956	n2o:CCF2020
MBA:771	owl:NamedIndividual	MBA:983	3205000.096	25.000	3619.633	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:771	3205000.096	25.000	3619.633	n2o:CCF2020
MBA:803	owl:NamedIndividual	MBA:81	151875.005	25.000	2640.127	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:803	151875.005	25.000	2640.127	n2o:CCF2020
MBA:803	owl:NamedIndividual	MBA:967	2330625.069	25.000	342.917	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:803	2330625.069	25.000	342.917	n2o:CCF2020
MBA:803	owl:NamedIndividual	MBA:983	16543750.493	25.000	2428.160	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:803	16543750.493	25.000	2428.160	n2o:CCF2020
MBA:803	owl:NamedIndividual	MBA:991	4922500.147	25.000	2845.011	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:803	4922500.147	25.000	2845.011	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:960	276875.008	25.000	4131.265	n2o:CCF2020
MBA:960	owl:NamedIndividual	MBA:81	276875.008	25.000	4131.265	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:983	12218125.364	25.000	324.682	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:81	12218125.364	25.000	324.682	n2o:CCF2020
MBA:81	owl:NamedIndividual	MBA:991	18046250.538	25.000	416.941	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:81	18046250.538	25.000	416.941	n2o:CCF2020
MBA:960	owl:NamedIndividual	MBA:967	10302500.307	25.000	5661.655	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:960	10302500.307	25.000	5661.655	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:983	1610000.048	25.000	2131.918	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:967	1610000.048	25.000	2131.918	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:991	2349375.070	25.000	2554.363	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:967	2349375.070	25.000	2554.363	n2o:CCF2020
MBA:983	owl:NamedIndividual	MBA:991	72696252.167	25.000	427.118	n2o:CCF2020
MBA:991	owl:NamedIndividual	MBA:983	72696252.167	25.000	427.118	n2o:CCF2020
MBA:1089	owl:NamedIndividual	MBA:967	161250.005	25.000	3285.526	n2o:CCF2020
MBA:967	owl:NamedIndividual	MBA:1089	161250.005	25.000	3285.526	n2o:CCF2020
MBA:145	owl:NamedIndividual	MBA:164	1875.000	25.000	1558.186	n2o:CCF2020
MBA:164	owl:NamedIndividual	MBA:145	1875.000	25.000	1558.186	n2o:CCF2020
MBA:129	owl:NamedIndividual	MBA:315	1875.000	25.000	1559.036	n2o:CCF2020
MBA:315	owl:NamedIndividual	MBA:129	1875.000	25.000	1559.036	n2o:CCF2020
MBA:477	owl:NamedIndividual	MBA:484682512	1875.000	25.000	2875.702	n2o:CCF2020
MBA:484682512	owl:NamedIndividual	MBA:477	1875.000	25.000	2875.702	n2o:CCF2020
